"siteid","site name","latitude","longitude"
"29847","Darien",7.697971,-77.713203
"29889","Darien",7.704334,-77.708175
"29891","Darien",7.705815,-77.705766
"29883","Darien",7.701515,-77.710793
"29821","BCI92-94_1_10",9.154342,-79.851649
"29822","BCI92-94_1_15",9.154342,-79.851649
"29823","BCI92-94_10_10",9.154342,-79.851649
"29824","BCI92-94_10_15",9.154342,-79.851649
"29825","BCI92-94_14_15",9.154342,-79.851649
"29826","BCI92-94_15_10",9.154342,-79.851649
"29827","BCI92-94_20_10",9.154342,-79.851649
"29828","BCI92-94_20_15",9.154342,-79.851649
"29829","BCI92-94_25_10",9.154342,-79.851649
"29830","BCI92-94_25-15",9.154342,-79.851649
"29831","BCI92-94_30_15",9.154342,-79.851649
"29832","BCI92-94_35_10",9.154342,-79.851649
"29833","BCI92-94_35_15",9.154342,-79.851649
"29834","BCI92-94_40_10",9.154342,-79.851649
"29835","BCI92-94_40_15",9.154342,-79.851649
"29836","BCI92-94_45_10",9.154342,-79.851649
"29837","BCI92-94_45_15",9.154342,-79.851649
"29838","BCI92-94_5_10",9.154342,-79.851649
"29839","BCI92-94_5_15",9.154342,-79.851649
"30078","Coba",20.5,-87.74
"29848","Comprida0.01",-1.718782,-53.817989
"29840","cuencaalta",8.41,-82.17
"29841","CuencaAlta.1",8.679093,-82.21971
"29842","CuencaAlta.2",8.679093,-82.21971
"29843","CuencaAlta.3",8.679093,-82.21971
"29844","CuencaAlta.4",8.679093,-82.21971
"29845","CuencaAlta.5",8.679093,-82.21971
"29846","cuencaswamp",8.41,-82.17
"29850","Cuyabeno_101",-0.229,-76.169
"29851","Cuyabeno_105",-0.229,-76.169
"29852","Cuyabeno_108",-0.229,-76.169
"29853","Cuyabeno_111",-0.229,-76.169
"29854","Cuyabeno_114",-0.229,-76.169
"29855","Cuyabeno_117",-0.229,-76.169
"29856","Cuyabeno_12",-0.229,-76.169
"29857","Cuyabeno_121",-0.229,-76.169
"29858","Cuyabeno_125",-0.229,-76.169
"29859","Cuyabeno_16",-0.229,-76.169
"29860","Cuyabeno_20",-0.229,-76.169
"29861","Cuyabeno_24",-0.229,-76.169
"29862","Cuyabeno_28",-0.229,-76.169
"29863","Cuyabeno_32",-0.229,-76.169
"29864","Cuyabeno_36",-0.229,-76.169
"29865","Cuyabeno_4",-0.229,-76.169
"29866","Cuyabeno_40",-0.229,-76.169
"29867","Cuyabeno_44",-0.229,-76.169
"29868","Cuyabeno_48",-0.229,-76.169
"29869","Cuyabeno_52",-0.229,-76.169
"29870","Cuyabeno_56",-0.229,-76.169
"29871","Cuyabeno_59",-0.229,-76.169
"29872","Cuyabeno_63",-0.229,-76.169
"29873","Cuyabeno_66",-0.229,-76.169
"29874","Cuyabeno_70",-0.229,-76.169
"29875","Cuyabeno_74",-0.229,-76.169
"29876","Cuyabeno_77",-0.229,-76.169
"29877","Cuyabeno_8",-0.229,-76.169
"29878","Cuyabeno_81",-0.229,-76.169
"29879","Cuyabeno_85",-0.229,-76.169
"29880","Cuyabeno_89",-0.229,-76.169
"29881","Cuyabeno_93",-0.229,-76.169
"29882","Cuyabeno_97",-0.229,-76.169
"29890","Geral10cm",-1.646903,-53.595528
"29849","Cuyabeno_1",-0.229,-75.93
